Loan Sequence Number,Credit Score,First Payment Date,Original Debt-to-Income (DTI) Ratio,Original UPB,Original Loan-to-Value (LTV),Channel
"F24Q10132610","789","202405","41","606000","80","C"
"F24Q10188926","770","202405","30","144000","80","C"
"F24Q10175675","791","202405","49","330000","80","C"
"F24Q10188077","814","202405","50","391000","80","C"
"F24Q10201979","817","202405","33","415000","80","C"
"F24Q10166814","804","202405","36","328000","80","C"
"F24Q10183908","773","202405","25","292000","80","C"
"F24Q10187542","774","202405","29","704000","80","C"
"F24Q10187693","777","202405","36","640000","80","C"
"F24Q10189044","734","202405","48","484000","80","C"
"F24Q10190859","773","202405","43","760000","80","C"
"F24Q10190991","778","202405","29","416000","80","C"
"F24Q10191393","746","202405","37","224000","80","C"
"F24Q10192456","769","202405","45","340000","80","C"
"F24Q10192820","774","202405","18","576000","80","C"
"F24Q10194746","704","202405","42","352000","80","C"
"F24Q10195667","722","202405","39","239000","80","C"
"F24Q10196169","643","202405","50","695000","80","C"
"F24Q10198532","803","202405","34","302000","80","C"
"F24Q10199019","737","202405","19","240000","80","C"
"F24Q10199156","758","202405","42","655000","80","C"
"F24Q10200369","792","202405","40","767000","80","C"
"F24Q10200528","719","202405","43","249000","80","C"
"F24Q10201655","761","202405","26","282000","80","C"
"F24Q10201674","814","202405","48","712000","80","C"
"F24Q10201932","708","202405","21","361000","80","C"
"F24Q10202129","803","202405","39","354000","80","C"
"F24Q10202471","760","202405","42","648000","80","C"
"F24Q10202792","788","202405","44","300000","80","C"
"F24Q10203017","722","202405","35","476000","80","C"
"F24Q10203627","680","202405","27","346000","80","C"
"F24Q10205768","746","202405","34","269000","80","C"
"F24Q10209036","797","202405","37","352000","80","C"
"F24Q10209706","802","202405","49","544000","80","C"
"F24Q10211509","785","202405","42","520000","80","C"
"F24Q10212963","809","202405","27","612000","80","C"
"F24Q10210235","771","202405","46","220000","80","C"
"F24Q10194475","777","202405","22","424000","80","C"
"F24Q10201014","763","202405","25","576000","80","C"
"F24Q10201019","710","202405","44","424000","80","C"
"F24Q10204113","803","202405","40","396000","80","C"
"F24Q10204149","790","202405","28","728000","80","C"
"F24Q10184755","801","202405","47","612000","80","C"
"F24Q10188950","775","202405","41","482000","80","C"
"F24Q10190864","790","202405","36","500000","80","C"
"F24Q10194600","724","202405","48","246000","80","C"
"F24Q10195597","788","202405","25","420000","80","C"
"F24Q10195886","708","202405","45","228000","80","C"
"F24Q10195980","684","202405","40","487000","80","C"
"F24Q10196074","652","202405","46","479000","80","C"
"F24Q10198633","782","202405","35","616000","80","C"
"F24Q10199426","753","202405","28","165000","80","C"
"F24Q10200524","740","202405","19","760000","80","C"
"F24Q10201307","763","202405","46","236000","80","C"
"F24Q10201920","653","202405","35","336000","80","C"
"F24Q10203927","787","202405","38","253000","80","C"
"F24Q10205600","706","202405","45","232000","80","C"
"F24Q10206504","777","202405","37","178000","80","C"
"F24Q10208816","801","202405","35","656000","80","C"
"F24Q10208932","757","202405","32","375000","80","C"
"F24Q10209439","808","202405","46","478000","80","C"
"F24Q10209811","791","202405","43","440000","80","C"
"F24Q10210791","720","202405","49","428000","80","C"
"F24Q10211289","802","202405","46","231000","80","C"
"F24Q10211330","624","202405","45","263000","80","C"
"F24Q10211333","794","202405","50","252000","80","C"
"F24Q10214718","748","202405","19","840000","80","C"
"F24Q10194578","737","202405","30","342000","80","C"
"F24Q10159234","764","202405","45","520000","80","C"
"F24Q10193743","783","202405","25","440000","80","C"
"F24Q10212438","740","202405","44","440000","80","C"
"F24Q10187131","798","202405","43","440000","80","C"
"F24Q10187638","781","202405","23","380000","80","C"
"F24Q10192247","685","202405","49","652000","80","C"
"F24Q10199857","759","202405","26","252000","80","C"
"F24Q10205169","732","202405","49","240000","80","C"
"F24Q10209832","694","202405","38","311000","80","C"
"F24Q10192695","801","202405","27","457000","80","C"
"F24Q10214637","737","202405","23","480000","80","C"
"F24Q10200905","713","202405","37","136000","80","C"
"F24Q10185504","701","202405","38","368000","80","C"
"F24Q10189252","781","202405","27","193000","80","C"
"F24Q10204817","780","202405","25","136000","80","C"
"F24Q10187832","759","202405","38","264000","80","C"
"F24Q10196331","813","202405","40","236000","80","C"
"F24Q10197976","772","202405","39","200000","80","C"
"F24Q10198145","603","202405","40","584000","80","C"
"F24Q10206533","780","202405","50","269000","80","C"
"F24Q10186631","786","202405","44","433000","80","C"
"F24Q10187337","780","202405","32","258000","80","C"
"F24Q10187531","790","202405","48","251000","80","C"
"F24Q10188716","713","202405","50","435000","80","C"
"F24Q10188814","797","202405","47","280000","80","C"
"F24Q10190979","812","202405","40","294000","80","C"
"F24Q10191841","683","202405","30","445000","80","C"
"F24Q10193419","800","202405","16","559000","80","C"
"F24Q10198348","644","202405","44","488000","80","C"
"F24Q10199257","732","202405","49","164000","80","C"
"F24Q10201927","769","202405","40","259000","80","C"
"F24Q10202200","735","202405","48","279000","80","C"
"F24Q10202355","742","202405","50","517000","80","C"
"F24Q10204732","630","202405","50","446000","80","C"
"F24Q10209533","776","202405","39","510000","80","C"
"F24Q10209667","773","202405","44","204000","80","C"
"F24Q10210194","711","202405","30","356000","80","C"
"F24Q10212563","807","202405","29","304000","80","C"
"F24Q10212895","800","202405","43","436000","80","C"
"F24Q10204693","813","202405","18","572000","80","C"
"F24Q10210538","770","202405","36","240000","80","C"
"F24Q10183080","735","202405","35","372000","80","C"
"F24Q10186607","789","202405","44","276000","80","C"
"F24Q10187828","804","202405","28","204000","80","C"
"F24Q10187998","755","202405","49","258000","80","C"
"F24Q10188345","758","202405","31","650000","80","C"
"F24Q10188890","790","202405","33","221000","80","C"
"F24Q10189263","798","202405","33","364000","80","C"
"F24Q10190022","778","202405","47","200000","80","C"
"F24Q10190214","788","202405","47","286000","80","C"
"F24Q10192142","787","202405","20","271000","80","C"
"F24Q10192591","721","202405","4","532000","80","C"
"F24Q10198547","760","202405","44","216000","80","C"
"F24Q10201695","805","202405","30","232000","80","C"
"F24Q10202256","807","202405","45","524000","80","C"
"F24Q10202661","757","202405","43","352000","80","C"
"F24Q10205032","715","202405","36","464000","80","C"
"F24Q10206185","805","202405","45","352000","80","C"
"F24Q10207138","794","202405","41","280000","80","C"
"F24Q10208229","792","202405","49","551000","80","C"
"F24Q10208655","800","202405","41","298000","80","C"
"F24Q10208996","736","202405","41","672000","80","C"
"F24Q10209448","776","202405","45","210000","80","C"
"F24Q10211261","776","202405","50","302000","80","C"
"F24Q10201138","749","202405","47","332000","80","C"
"F24Q10185756","744","202405","27","100000","80","C"
"F24Q10205265","716","202405","48","328000","80","C"
"F24Q10189280","696","202405","34","716000","80","C"
"F24Q10192314","808","202405","45","196000","80","C"
"F24Q10192441","717","202405","28","245000","80","C"
"F24Q10196086","785","202405","36","292000","80","C"
"F24Q10196401","704","202405","46","239000","80","C"
"F24Q10210463","753","202405","47","600000","80","C"
"F24Q10186732","793","202405","38","320000","80","C"
"F24Q10187883","807","202405","30","274000","80","C"
"F24Q10189407","751","202405","50","380000","80","C"
"F24Q10189594","785","202405","33","584000","80","C"
"F24Q10199516","720","202405","49","532000","80","C"
"F24Q10203424","670","202405","47","184000","80","C"
"F24Q10209695","656","202405","31","236000","80","C"
"F24Q10211813","791","202405","21","414000","80","C"
"F24Q10212823","745","202405","43","296000","80","C"
"F24Q10183672","801","202405","46","694000","80","C"
"F24Q10207005","683","202405","48","220000","80","C"
"F24Q10209032","809","202405","43","396000","80","C"
"F24Q10206627","760","202405","35","559000","80","C"
"F24Q10214139","767","202405","17","148000","80","C"
"F24Q10213825","771","202405","38","229000","80","C"
"F24Q10205770","679","202405","24","60000","80","C"
"F24Q10212774","650","202405","49","207000","80","C"
"F24Q10205014","742","202405","43","568000","80","C"
"F24Q10190619","652","202405","43","239000","80","C"
"F24Q10199254","809","202405","42","274000","80","C"
"F24Q10205753","749","202405","48","293000","80","C"
"F24Q10206132","700","202405","49","399000","80","C"
"F24Q10208453","748","202405","37","148000","80","C"
"F24Q10186282","632","202405","45","310000","80","C"
"F24Q10199461","759","202405","28","360000","80","C"
"F24Q10200621","814","202405","44","635000","80","C"
"F24Q10200308","804","202405","39","345000","80","C"
"F24Q10202095","682","202405","22","312000","80","C"
"F24Q10204574","801","202405","31","374000","80","C"
"F24Q10210245","771","202405","49","556000","80","C"
"F24Q10185150","781","202405","23","252000","80","C"
"F24Q10188632","796","202405","46","531000","80","C"
"F24Q10213374","745","202405","38","377000","80","C"
"F24Q10192580","758","202405","29","75000","80","C"
"F24Q10196140","774","202405","42","606000","80","C"
"F24Q10150449","785","202405","34","529000","80","R"
"F24Q10184083","794","202405","33","319000","80","R"
"F24Q10185947","717","202405","33","402000","80","R"
"F24Q10191225","801","202405","17","276000","80","R"
"F24Q10197078","779","202405","30","188000","80","R"
"F24Q10207034","663","202405","39","180000","80","R"
"F24Q10214208","791","202405","30","359000","80","R"
"F24Q10214331","752","202405","43","196000","80","R"
"F24Q10214495","756","202405","25","176000","80","R"
"F24Q10185477","797","202405","39","232000","80","R"
"F24Q10191096","755","202405","45","76000","80","R"
"F24Q10206113","811","202405","20","717000","80","R"
"F24Q10206320","773","202405","30","541000","80","R"
"F24Q10142995","816","202405","42","394000","80","R"
"F24Q10188362","807","202405","29","430000","80","R"
