Loan Sequence Number,Occupancy Status,Property State,Property Type,Seller Name,Loan Purpose,Property Valuation Method
"F24Q10190479","P","NY","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10190934","P","PA","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10193547","P","OK","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10200640","P","OH","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10200776","P","NE","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10204608","P","NJ","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10204720","P","FL","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10205087","P","NY","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10211033","P","TX","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10211119","P","CA","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10184968","P","AR","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10190159","P","TN","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10190718","P","PA","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10190866","P","PA","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10204112","P","NC","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10207049","P","VA","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10212587","P","MI","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10209793","P","KY","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10210622","P","FL","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10213331","P","FL","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10214737","P","MI","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10200216","P","TX","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10200887","P","MN","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10203925","P","OH","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10208423","P","MI","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10209636","P","OH","SF","Other sellers","P","Penilaian Lengkap"
"F24Q10209778","P","IL","SF","Other sellers","P","Penilaian Lengkap"
