Loan Sequence Number,Monthly Reporting Period,Current Actual UPB,Estimated Loan-to-Value (ELTV),Current Interest Rate,Loan Age
"F21Q30608115","202405","0.00","999","3.374","003"
"F23Q10058994","202405","0.00","999","6.625","015"
"F22Q40045931","202405","0.00","999","5.999","018"
"F22Q40119551","202405","0.00","999","6.990","017"
"F22Q40155108","202405","0.00","999","7.625","016"
"F23Q10013376","202405","0.00","999","6.375","016"
"F23Q10158038","202405","0.00","999","7.125","013"
"F23Q10177664","202405","0.00","999","6.875","013"
"F23Q20200470","202405","0.00","999","6.500","010"
"F23Q20233779","202405","0.00","999","7.125","010"
"F23Q20266609","202405","0.00","999","7.500","010"
"F23Q30243235","202405","0.00","999","7.375","007"
"F23Q40000677","202405","0.00","999","8.625","006"
"F23Q40036026","202405","0.00","999","5.990","006"
"F23Q40055129","202405","0.00","999","7.500","006"
"F23Q40055159","202405","0.00","999","7.825","005"
"F23Q40085942","202405","0.00","999","6.990","006"
"F23Q40094200","202405","0.00","999","7.375","006"
"F23Q40143741","202405","0.00","999","7.990","005"
"F23Q40164490","202405","0.00","999","7.625","004"
"F23Q40190678","202405","0.00","999","8.125","004"
"F24Q10065152","202405","0.00","999","6.500","002"
"F21Q40402277","202405","0.00","999","3.750","030"
"F20Q41258814","202405","0.00","999","2.875","041"
"F21Q40790003","202405","0.00","999","3.250","028"
"F21Q40853473","202405","0.00","999","3.125","030"
"F21Q40859076","202405","0.00","999","2.875","027"
"F22Q40177452","202405","0.00","999","6.500","016"
"F22Q40185113","202405","0.00","999","6.999","016"
"F22Q40186977","202405","0.00","999","6.625","016"
"F22Q40214543","202405","0.00","999","5.875","016"
"F22Q40220625","202405","0.00","999","3.875","016"
"F23Q40017795","202405","0.00","999","7.393","006"
"F23Q40018459","202405","0.00","999","7.375","006"
"F23Q40028297","202405","0.00","999","7.375","006"
"F23Q40046649","202405","0.00","999","8.625","006"
"F23Q40068496","202405","0.00","999","7.990","006"
"F23Q40069597","202405","0.00","999","7.125","006"
"F23Q40072581","202405","0.00","999","7.125","006"
"F23Q40075160","202405","0.00","999","8.125","006"
"F23Q40075660","202405","0.00","999","8.125","005"
"F23Q40083854","202405","0.00","999","7.000","005"
"F23Q40086329","202405","0.00","999","7.625","005"
"F23Q40102058","202405","0.00","999","8.625","005"
"F23Q40115106","202405","0.00","999","7.375","005"
"F23Q40115457","202405","0.00","999","7.625","005"
"F23Q40119258","202405","0.00","999","6.750","006"
"F23Q40122015","202405","0.00","999","8.625","006"
"F23Q40131741","202405","0.00","999","8.000","005"
"F23Q40137117","202405","0.00","999","7.500","005"
"F23Q40138378","202405","0.00","999","5.375","005"
"F23Q40149529","202405","0.00","999","7.250","004"
"F23Q40156781","202405","0.00","999","8.625","004"
"F23Q40165713","202405","0.00","999","7.375","004"
"F23Q40166915","202405","0.00","999","8.125","004"
"F23Q40183996","202405","0.00","999","7.500","004"
"F23Q40201701","202405","0.00","999","8.500","004"
"F24Q10027965","202405","0.00","999","5.990","003"
"F24Q10051862","202405","0.00","999","6.875","002"
"F24Q10097524","202405","0.00","999","7.990","002"
"F24Q10106191","202405","0.00","999","7.000","002"
"F24Q10114554","202405","0.00","999","7.625","001"
"F24Q10132759","202405","0.00","999","7.000","003"
"F24Q10132893","202405","0.00","999","6.250","002"
"F24Q10153950","202405","0.00","999","8.125","002"
"F24Q10168856","202405","0.00","999","7.375","001"
"F24Q10200299","202405","0.00","999","6.125","001"
"F24Q10208828","202405","0.00","999","6.875","001"
"F20Q41228638","202405","0.00","999","2.875","040"
"F21Q40771120","202405","0.00","999","4.000","029"
"F21Q40783161","202405","0.00","999","3.190","028"
"F22Q40174324","202405","0.00","999","6.125","017"
"F22Q40175027","202405","0.00","999","7.625","017"
"F22Q40182760","202405","0.00","999","6.750","016"
"F22Q40190015","202405","0.00","999","7.000","016"
"F22Q40197170","202405","0.00","999","7.999","016"
"F22Q40207313","202405","0.00","999","6.500","016"
"F22Q40208787","202405","0.00","999","6.625","015"
"F22Q40213218","202405","0.00","999","7.375","017"
"F22Q40216779","202405","0.00","999","7.125","016"
"F22Q40217619","202405","0.00","999","5.875","016"
"F22Q40218799","202405","0.00","999","6.000","018"
"F22Q40220182","202405","0.00","999","5.750","016"
"F22Q40221005","202405","0.00","999","6.625","016"
"F23Q40014336","202405","0.00","999","7.125","006"
"F23Q40015074","202405","0.00","999","7.876","006"
"F23Q40020603","202405","0.00","999","7.500","006"
"F23Q40026533","202405","0.00","999","7.490","006"
"F23Q40030558","202405","0.00","999","6.750","006"
"F23Q40038267","202405","0.00","999","7.000","006"
"F23Q40039485","202405","0.00","999","7.625","006"
"F23Q40054586","202405","0.00","999","8.250","005"
"F23Q40056134","202405","0.00","999","7.499","006"
"F23Q40056871","202405","0.00","999","7.375","005"
"F23Q40061457","202405","0.00","999","6.875","005"
"F23Q40063474","202405","0.00","999","7.875","006"
"F23Q40064223","202405","0.00","999","8.375","006"
"F23Q40080865","202405","0.00","999","7.375","005"
"F23Q40084767","202405","0.00","999","7.375","006"
"F23Q40087295","202405","0.00","999","8.500","005"
"F23Q40087498","202405","0.00","999","6.990","006"
"F23Q40088698","202405","0.00","999","6.875","005"
"F23Q40090669","202405","0.00","999","8.000","005"
"F23Q40090768","202405","0.00","999","7.990","005"
"F23Q40098497","202405","0.00","999","8.375","005"
"F23Q40098712","202405","0.00","999","7.875","005"
"F23Q40107980","202405","0.00","999","7.990","005"
"F23Q40115251","202405","0.00","999","7.875","005"
"F23Q40119915","202405","0.00","999","7.999","005"
"F23Q40120639","202405","0.00","999","6.625","004"
"F23Q40121335","202405","0.00","999","7.500","005"
"F23Q40123454","202405","0.00","999","8.500","005"
"F23Q40127228","202405","0.00","999","7.875","005"
"F23Q40133382","202405","0.00","999","7.875","005"
"F23Q40134172","202405","0.00","999","7.375","005"
"F23Q40137415","202405","0.00","999","8.125","006"
"F23Q40148293","202405","0.00","999","7.625","004"
"F23Q40149987","202405","0.00","999","8.375","004"
"F23Q40153281","202405","0.00","999","8.000","006"
"F23Q40169302","202405","0.00","999","6.625","004"
"F23Q40172198","202405","0.00","999","6.500","004"
"F23Q40173612","202405","0.00","999","8.000","004"
"F23Q40182825","202405","0.00","999","6.990","004"
"F23Q40185383","202405","0.00","999","5.875","004"
"F23Q40201908","202405","0.00","999","7.990","004"
"F23Q40203441","202405","0.00","999","7.625","004"
"F23Q40205358","202405","0.00","999","7.125","004"
"F24Q10007128","202405","0.00","999","6.375","003"
"F24Q10013340","202405","0.00","999","6.500","003"
"F24Q10025388","202405","0.00","999","6.375","003"
"F24Q10038101","202405","0.00","999","6.375","003"
"F24Q10044425","202405","0.00","999","7.375","002"
"F24Q10051692","202405","0.00","999","6.875","003"
"F24Q10052705","202405","0.00","999","6.400","002"
"F24Q10061689","202405","0.00","999","7.500","003"
"F24Q10067625","202405","0.00","999","6.625","003"
"F24Q10070922","202405","0.00","999","8.125","002"
"F24Q10087346","202405","0.00","999","6.500","002"
"F24Q10094010","202405","0.00","999","6.500","002"
"F24Q10096426","202405","0.00","999","7.490","001"
"F24Q10112639","202405","0.00","999","6.250","001"
"F24Q10125809","202405","0.00","999","7.450","001"
"F24Q10127695","202405","0.00","999","6.750","001"
"F24Q10135817","202405","0.00","999","6.624","001"
"F24Q10141131","202405","0.00","999","6.990","001"
"F24Q10142995","202405","0.00","999","6.250","001"
"F24Q10147219","202405","0.00","999","7.125","001"
"F24Q10154307","202405","0.00","999","6.000","002"
"F24Q10166814","202405","0.00","999","6.990","001"
"F24Q10175675","202405","0.00","999","6.500","001"
"F24Q10177770","202405","0.00","999","6.990","001"
